WorkerId,Answer.essay1,Answer.essay2,job_title,Answer.burnedout,Answer.energized,Answer.engrossed,Answer.fatigued,Answer.frustrated,Answer.intend_look,Answer.intend_stay,Answer.meaningful,Answer.proud,Answer.strong,Answer.time_flies,Answer.want_stay,Org Type,Years Experience,Industry,org_size,ONET1,ONET2,ONET3,Role_level
1,"The ability to help other people accomplish larger, important tasks.","Typically time goes quickly, but I often have to do a lot of tasks that require me to wait for something to complete. During this time, it's easy to get sidetracked.",IT Support Specialist,A few times a year,Nearly Always,Nearly Always,A few times a year,Monthly,Neither Agree nor Disagree,Strongly Agree,Frequently,Nearly Always,Nearly Always,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",1 to 2,Education,10001 to 50000,Computer and Mathematical  ,Computer Occupations,Computer Support Specialists,Junior Individual Contributor
2,I like that I am learning a new skill set and that it is definitely an important skillset to have in the current economic environment. I also like that I am valued at my workplace because I am one of the few people in the entire company that can do the things that I do. It's fulfilling work but I wish there was a little more to do during the last few days of the week.,It mainly depends on how much work is being thrown my way. If I get a big project I will commit my whole day to it and time will fly and I will often times run out of time and have to continue outside of work. If I have no real project it's a lot of waiting around and it can be very frustrating. I do not really ever get distracted.,Analyst,A few times a week,Sometimes,Frequently,A few times a week,A few times a week,Somewhat Agree,Neither Agree nor Disagree,Frequently,Nearly Always,Sometimes,Nearly Always,Somewhat Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Media,<100,Sales and Related  ,Other Sales and Related Workers,Miscellaneous Sales and Related Workers,Senior Manager
3,I like the people and the pay. The people I mean the employees and not the management.,It is easy to focus on the work. There are distractions but I can handle them.,finance,A few times a week,Occasionally,Occasionally,A few times a week,A few times a week,Agree,Somewhat Disagree,Occasionally,Occasionally,Occasionally,Occasionally,Somewhat Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",3 to 5,Financial Services,Do Not Know,Computer and Mathematical  ,Computer Occupations,Computer Support Specialists,Senior Individual Contributor
4,I like working with very smart people and finding solutions to hard problems. I like to discover ways to get around a difficult problem and make sure that the efforts we are doing remain on schedule and on budget so that our clients are happy. I like to interact with decision makers and the workers on the project to collaborate and bring people together. This helps me grow as a person and it helps others to accomplish their goals as well.,"Time can go by very quickly if I am doing something action packed with a lot of moving parts that need to be analyzed and considered. If I am not doing that, then the time will go by more slowly. If there is a lull, it seems like I can be sitting around waiting for something to happen but if I am in the busy time then there are so many things going on and time seems to fly by.",Project manager ,A few times a year,Sometimes,Frequently,A few times a year,A few times a month,Disagree,Agree,Frequently,Sometimes,Sometimes,Frequently,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,Do Not Know,Computer and Mathematical  ,Computer Occupations,Computer and Information Analysts,Middle Manager
5,"I like that I can earn commission so my earnings are up to me.  I like that I can help people to an extent, even though health insurance is a waste of money and I don't personally agree with how health insurance is run in this country.  I like that if I don't have a very good sales month I still earn base wages that are adequate.  I like that my supervisor is always around to help me.",Time always passes slowly.  If I am taking inbound calls it may go by a little faster because I can't control the flow of the calls and I have a much better chance of making sales.  If I'm making outbound calls I look at the clock constantly until my time is up to make those calls because they are awful.  I rarely make a sale on these calls and I feel like it is a waste of time.,Sales Rep,A few times a month,Sometimes,Sometimes,Every week,A few times a week,Somewhat Agree,Somewhat Disagree,Rarely,Occasionally,Sometimes,Occasionally,Somewhat Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Insurance,10001 to 50000,Sales and Related  ,"Sales Representatives, Services",Insurance Sales Agents,Senior Individual Contributor
6,"I enjoy keeping track of files and people.  My position entails a broad line of work, and I really do enjoy it when it is busy at a steady pace.","Most days, the time goes by somewhat slowly.  I prefer to keep busy most of the day, so this does affect me when I'm slow.",Executive Assistant,A few times a year,Sometimes,Occasionally,A few times a year,A few times a year,Somewhat Agree,Neither Agree nor Disagree,Frequently,Frequently,Sometimes,Sometimes,Neither Agree nor Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Government/Non-Profit,<100,Office and Administrative Support  ,Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Workers,Senior Individual Contributor
7,"I get to read and experience stories all day. Sure, there are frustrating things too, but it's been a wonderful opportunity to deepen my understanding of something I love. I find it difficult to imagine myself more fulfilled than I am in that regard. Stories are amazing things. They teach us how we see the world and create a lens that determines how we analyze it. They make the difficult more easy to understand and broaden empathy. I think stories are worthy in that regard.","Time passes all too quickly! I have a ton of material to read and never enough time to do it all. And that's not including all of the logistical materials, etc. There's a lot of scheduling and oter stuff that's not my forte, but when I'm doing the parts of my job that I particularly love, time moves quickly. Sometimes I forget to take lunch,, just because I'm feeling so completely and utterly absorbed in my work!",editor,A few times a month,Nearly Always,Nearly Always,Monthly,Every week,Disagree,Strongly Agree,Always,Always,Nearly Always,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",3 to 5,Education,1001 to 5000,Educational Instruction and Library  ,Postsecondary Teachers,"Communications, History, and Humanities Teachers, Postsecondary",Senior Individual Contributor
8,There are usually small challenges and little problems to figure out that are sometimes different from each other.,"Time usually passes fairly  quickly, except for the times of year where there is not much work to do. When there is there is not really enough time.",Project Coordinator,A few times a year,Occasionally,Sometimes,Monthly,A few times a year,Somewhat Disagree,Agree,Occasionally,Occasionally,Occasionally,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,101 to 500,Office and Administrative Support  ,Other Office and Administrative Support Workers,Miscellaneous Office and Administrative Support Workers,Junior Individual Contributor
9,"I really enjoy working with students. I enjoy hearing their stories, getting to know them on a personal level, and finding out what motivates them to succeed and excel. I can do my best work by understanding what motivates students and using that to make their academic experience better and more impactful. I enjoy helping students maximize their potential, whether that's bringing up someone from academic probation to good standing or helping a student in good standing get to the Dean's list.","In times of high student need and high student traffic, time goes very quickly. I may even skip lunch to attend to student needs and before you know it, it's almost time to go home and call it a day. In times of quiet in the semester, time can pass very slowly, but there's always projects to undertake and research articles to read. As far as focus, it usually is quite easy to focus on my work. I'm a people person and it's easy for me to focus to help people, I am able to block out distractions.",Teacher,A few times a year,Sometimes,Sometimes,A few times a year,A few times a month,Strongly Disagree,Strongly Agree,Nearly Always,Nearly Always,Sometimes,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",3 to 5,Education,101 to 500,Office and Administrative Support  ,Other Office and Administrative Support Workers,Miscellaneous Office and Administrative Support Workers,Junior Individual Contributor
10,"A few things I like about my job - first, job security, because automation is a huge concern across the board, but I don't have to worry about that, because I am literally the one implementing the automation! Second, just by virtue of being a brain-based white collar job, I like that I am in an air conditioned room using my brain - it is comfortable and not physically tiring. And of course it pays pretty well, with good benefits. As far as being a programmer *specifically*, I do like being given interesting problems and it being up to me how to solve them.","This is an impossible question, because I don't experience time passing the exact same amount every day. Plenty of times where I do get absorbed in my work, when I'm deep into coding or implementing something interesting and want to finish it, and realize, huh, hours have passed. Also plenty of times where I'm implementing something complicated but not interesting, like say just a giant pile of similar-but-not-identical conditionals or lookups, or writing documentation, or sitting in meetings, or times where I just don't have work to do, then time passes super slowly. And a wide continuum.",solutions engineer,A few times a year,Occasionally,Occasionally,A few times a month,A few times a month,Strongly Disagree,Strongly Agree,Occasionally,Sometimes,Never,Occasionally,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,101 to 500,Computer and Mathematical  ,Computer Occupations,"Software and Web Developers, Programmers, and Testers",Senior Individual Contributor
